year,deflator_index,source
1955-56,3.1645,HMT March 2026 QNA (outturn)
1956-57,3.3593,HMT March 2026 QNA (outturn)
1957-58,3.5142,HMT March 2026 QNA (outturn)
1958-59,3.5995,HMT March 2026 QNA (outturn)
1959-60,3.6187,HMT March 2026 QNA (outturn)
1960-61,3.6909,HMT March 2026 QNA (outturn)
1961-62,3.8264,HMT March 2026 QNA (outturn)
1962-63,3.9457,HMT March 2026 QNA (outturn)
1963-64,4.0121,HMT March 2026 QNA (outturn)
1964-65,4.201,HMT March 2026 QNA (outturn)
1965-66,4.4272,HMT March 2026 QNA (outturn)
1966-67,4.6525,HMT March 2026 QNA (outturn)
1967-68,4.7796,HMT March 2026 QNA (outturn)
1968-69,5.0299,HMT March 2026 QNA (outturn)
1969-70,5.3774,HMT March 2026 QNA (outturn)
1970-71,5.9079,HMT March 2026 QNA (outturn)
1971-72,6.3551,HMT March 2026 QNA (outturn)
1972-73,6.8955,HMT March 2026 QNA (outturn)
1973-74,7.5015,HMT March 2026 QNA (outturn)
1974-75,9.0263,HMT March 2026 QNA (outturn)
1975-76,11.2333,HMT March 2026 QNA (outturn)
1976-77,12.8005,HMT March 2026 QNA (outturn)
1977-78,14.5596,HMT March 2026 QNA (outturn)
1978-79,16.1988,HMT March 2026 QNA (outturn)
1979-80,18.9324,HMT March 2026 QNA (outturn)
1980-81,22.5457,HMT March 2026 QNA (outturn)
1981-82,24.9204,HMT March 2026 QNA (outturn)
1982-83,26.7569,HMT March 2026 QNA (outturn)
1983-84,28.0299,HMT March 2026 QNA (outturn)
1984-85,29.6689,HMT March 2026 QNA (outturn)
1985-86,31.2847,HMT March 2026 QNA (outturn)
1986-87,32.5556,HMT March 2026 QNA (outturn)
1987-88,34.4507,HMT March 2026 QNA (outturn)
1988-89,36.7965,HMT March 2026 QNA (outturn)
1989-90,39.7716,HMT March 2026 QNA (outturn)
1990-91,43.1083,HMT March 2026 QNA (outturn)
1991-92,45.701,HMT March 2026 QNA (outturn)
1992-93,46.9538,HMT March 2026 QNA (outturn)
1993-94,48.2899,HMT March 2026 QNA (outturn)
1994-95,49.091,HMT March 2026 QNA (outturn)
1995-96,50.6447,HMT March 2026 QNA (outturn)
1996-97,52.3579,HMT March 2026 QNA (outturn)
1997-98,52.4935,HMT March 2026 QNA (outturn)
1998-99,53.2311,HMT March 2026 QNA (outturn)
1999-00,53.8894,HMT March 2026 QNA (outturn)
2000-01,54.3697,HMT March 2026 QNA (outturn)
2001-02,55.4597,HMT March 2026 QNA (outturn)
2002-03,56.6,HMT March 2026 QNA (outturn)
2003-04,57.9885,HMT March 2026 QNA (outturn)
2004-05,59.7172,HMT March 2026 QNA (outturn)
2005-06,61.3576,HMT March 2026 QNA (outturn)
2006-07,63.2017,HMT March 2026 QNA (outturn)
2007-08,64.438,HMT March 2026 QNA (outturn)
2008-09,66.8397,HMT March 2026 QNA (outturn)
2009-10,67.7042,HMT March 2026 QNA (outturn)
2010-11,68.8561,HMT March 2026 QNA (outturn)
2011-12,70.3261,HMT March 2026 QNA (outturn)
2012-13,71.5454,HMT March 2026 QNA (outturn)
2013-14,73.0337,HMT March 2026 QNA (outturn)
2014-15,74.0662,HMT March 2026 QNA (outturn)
2015-16,74.5804,HMT March 2026 QNA (outturn)
2016-17,76.0754,HMT March 2026 QNA (outturn)
2017-18,77.0388,HMT March 2026 QNA (outturn)
2018-19,78.7948,HMT March 2026 QNA (outturn)
2019-20,80.8738,HMT March 2026 QNA (outturn)
2020-21,85.1002,HMT March 2026 QNA (outturn)
2021-22,85.3036,HMT March 2026 QNA (outturn)
2022-23,91.2996,HMT March 2026 QNA (outturn)
2023-24,96.1117,HMT March 2026 QNA (outturn)
2024-25,100.0,HMT March 2026 QNA (outturn)
2025-26,103.23883115679686,HMT March 2026 QNA (OBR forecast)
2026-27,105.30953567614671,HMT March 2026 QNA (OBR forecast)
2027-28,107.35462607349376,HMT March 2026 QNA (OBR forecast)
2028-29,109.3571288243608,HMT March 2026 QNA (OBR forecast)
2029-30,111.3959473045061,HMT March 2026 QNA (OBR forecast)
2030-31,113.64164762942663,HMT March 2026 QNA (OBR forecast)
