year,area,budget_type,value_gbp_m,source
2020-21,asylum_support,CDEL,31.52,PESA 2025 × default CDEL shares
2020-21,borders_migration,CDEL,173.36,PESA 2025 × default CDEL shares
2020-21,border_security_command,CDEL,15.76,PESA 2025 × default CDEL shares
2020-21,police,CDEL,252.16,PESA 2025 × default CDEL shares
2020-21,homeland_security,CDEL,141.84,PESA 2025 × default CDEL shares
2020-21,crime_fire_drugs,CDEL,31.52,PESA 2025 × default CDEL shares
2020-21,corporate_admin,CDEL,141.84,PESA 2025 × default CDEL shares
2021-22,asylum_support,CDEL,34.44,PESA 2025 × default CDEL shares
2021-22,borders_migration,CDEL,189.42,PESA 2025 × default CDEL shares
2021-22,border_security_command,CDEL,17.22,PESA 2025 × default CDEL shares
2021-22,police,CDEL,275.52,PESA 2025 × default CDEL shares
2021-22,homeland_security,CDEL,154.98,PESA 2025 × default CDEL shares
2021-22,crime_fire_drugs,CDEL,34.44,PESA 2025 × default CDEL shares
2021-22,corporate_admin,CDEL,154.98,PESA 2025 × default CDEL shares
2022-23,asylum_support,CDEL,43.6,PESA 2025 × default CDEL shares
2022-23,borders_migration,CDEL,239.8,PESA 2025 × default CDEL shares
2022-23,border_security_command,CDEL,21.8,PESA 2025 × default CDEL shares
2022-23,police,CDEL,348.8,PESA 2025 × default CDEL shares
2022-23,homeland_security,CDEL,196.2,PESA 2025 × default CDEL shares
2022-23,crime_fire_drugs,CDEL,43.6,PESA 2025 × default CDEL shares
2022-23,corporate_admin,CDEL,196.2,PESA 2025 × default CDEL shares
2023-24,asylum_support,CDEL,51.92,PESA 2025 × default CDEL shares
2023-24,borders_migration,CDEL,285.56,PESA 2025 × default CDEL shares
2023-24,border_security_command,CDEL,25.96,PESA 2025 × default CDEL shares
2023-24,police,CDEL,415.36,PESA 2025 × default CDEL shares
2023-24,homeland_security,CDEL,233.64,PESA 2025 × default CDEL shares
2023-24,crime_fire_drugs,CDEL,51.92,PESA 2025 × default CDEL shares
2023-24,corporate_admin,CDEL,233.64,PESA 2025 × default CDEL shares
2024-25,asylum_support,CDEL,68.72,PESA 2025 × default CDEL shares
2024-25,borders_migration,CDEL,377.96,PESA 2025 × default CDEL shares
2024-25,border_security_command,CDEL,34.36,PESA 2025 × default CDEL shares
2024-25,police,CDEL,549.76,PESA 2025 × default CDEL shares
2024-25,homeland_security,CDEL,309.24,PESA 2025 × default CDEL shares
2024-25,crime_fire_drugs,CDEL,68.72,PESA 2025 × default CDEL shares
2024-25,corporate_admin,CDEL,309.24,PESA 2025 × default CDEL shares
2020-21,asylum_support,RDEL,2767.35,PESA 2025 × default RDEL shares
2020-21,borders_migration,RDEL,1427.3700000000001,PESA 2025 × default RDEL shares
2020-21,border_security_command,RDEL,72.825,PESA 2025 × default RDEL shares
2020-21,police,RDEL,8855.52,PESA 2025 × default RDEL shares
2020-21,homeland_security,RDEL,597.1650000000001,PESA 2025 × default RDEL shares
2020-21,crime_fire_drugs,RDEL,509.77500000000003,PESA 2025 × default RDEL shares
2020-21,corporate_admin,RDEL,334.995,PESA 2025 × default RDEL shares
2021-22,asylum_support,RDEL,2742.65,PESA 2025 × default RDEL shares
2021-22,borders_migration,RDEL,1414.63,PESA 2025 × default RDEL shares
2021-22,border_security_command,RDEL,72.175,PESA 2025 × default RDEL shares
2021-22,police,RDEL,8776.48,PESA 2025 × default RDEL shares
2021-22,homeland_security,RDEL,591.835,PESA 2025 × default RDEL shares
2021-22,crime_fire_drugs,RDEL,505.225,PESA 2025 × default RDEL shares
2021-22,corporate_admin,RDEL,332.005,PESA 2025 × default RDEL shares
2022-23,asylum_support,RDEL,3196.18,PESA 2025 × default RDEL shares
2022-23,borders_migration,RDEL,1648.556,PESA 2025 × default RDEL shares
2022-23,border_security_command,RDEL,84.11,PESA 2025 × default RDEL shares
2022-23,police,RDEL,10227.776,PESA 2025 × default RDEL shares
2022-23,homeland_security,RDEL,689.702,PESA 2025 × default RDEL shares
2022-23,crime_fire_drugs,RDEL,588.7700000000001,PESA 2025 × default RDEL shares
2022-23,corporate_admin,RDEL,386.906,PESA 2025 × default RDEL shares
2023-24,asylum_support,RDEL,3612.4700000000003,PESA 2025 × default RDEL shares
2023-24,borders_migration,RDEL,1863.2740000000001,PESA 2025 × default RDEL shares
2023-24,border_security_command,RDEL,95.065,PESA 2025 × default RDEL shares
2023-24,police,RDEL,11559.904,PESA 2025 × default RDEL shares
2023-24,homeland_security,RDEL,779.533,PESA 2025 × default RDEL shares
2023-24,crime_fire_drugs,RDEL,665.455,PESA 2025 × default RDEL shares
2023-24,corporate_admin,RDEL,437.299,PESA 2025 × default RDEL shares
2024-25,asylum_support,RDEL,3479.28,PESA 2025 × default RDEL shares
2024-25,borders_migration,RDEL,1794.576,PESA 2025 × default RDEL shares
2024-25,border_security_command,RDEL,91.56,PESA 2025 × default RDEL shares
2024-25,police,RDEL,11133.696,PESA 2025 × default RDEL shares
2024-25,homeland_security,RDEL,750.792,PESA 2025 × default RDEL shares
2024-25,crime_fire_drugs,RDEL,640.9200000000001,PESA 2025 × default RDEL shares
2024-25,corporate_admin,RDEL,421.176,PESA 2025 × default RDEL shares
