year,area,budget_type,value_gbp_m,source
2015-16,asylum_support,RDEL,650,seed placeholder
2016-17,asylum_support,RDEL,700,seed placeholder
2017-18,asylum_support,RDEL,750,seed placeholder
2018-19,asylum_support,RDEL,900,seed placeholder
2019-20,asylum_support,RDEL,1100,seed placeholder
2020-21,asylum_support,RDEL,1600,seed placeholder
2021-22,asylum_support,RDEL,2100,seed placeholder
2022-23,asylum_support,RDEL,3200,seed placeholder
2023-24,asylum_support,RDEL,4300,seed placeholder
2024-25,asylum_support,RDEL,4000,IFS/HAC (£4bn asylum support 24-25)
2015-16,borders_migration,RDEL,1200,seed placeholder
2016-17,borders_migration,RDEL,1250,seed placeholder
2017-18,borders_migration,RDEL,1300,seed placeholder
2018-19,borders_migration,RDEL,1400,seed placeholder
2019-20,borders_migration,RDEL,1500,seed placeholder
2020-21,borders_migration,RDEL,1600,seed placeholder
2021-22,borders_migration,RDEL,1700,seed placeholder
2022-23,borders_migration,RDEL,1800,seed placeholder
2023-24,borders_migration,RDEL,1900,seed placeholder
2024-25,borders_migration,RDEL,2000,seed placeholder
2015-16,border_security_command,RDEL,0,not established
2016-17,border_security_command,RDEL,0,not established
2017-18,border_security_command,RDEL,0,not established
2018-19,border_security_command,RDEL,0,not established
2019-20,border_security_command,RDEL,0,not established
2020-21,border_security_command,RDEL,0,not established
2021-22,border_security_command,RDEL,0,not established
2022-23,border_security_command,RDEL,0,not established
2023-24,border_security_command,RDEL,50,seed placeholder (initial stand-up)
2024-25,border_security_command,RDEL,100,seed placeholder
2015-16,police,RDEL,8500,seed placeholder
2016-17,police,RDEL,8600,seed placeholder
2017-18,police,RDEL,8800,seed placeholder
2018-19,police,RDEL,9000,seed placeholder
2019-20,police,RDEL,9500,seed placeholder
2020-21,police,RDEL,10500,seed placeholder
2021-22,police,RDEL,11000,seed placeholder
2022-23,police,RDEL,11800,seed placeholder
2023-24,police,RDEL,12500,seed placeholder
2024-25,police,RDEL,13000,seed placeholder
2015-16,homeland_security,RDEL,700,seed placeholder
2016-17,homeland_security,RDEL,720,seed placeholder
2017-18,homeland_security,RDEL,740,seed placeholder
2018-19,homeland_security,RDEL,770,seed placeholder
2019-20,homeland_security,RDEL,800,seed placeholder
2020-21,homeland_security,RDEL,830,seed placeholder
2021-22,homeland_security,RDEL,850,seed placeholder
2022-23,homeland_security,RDEL,870,seed placeholder
2023-24,homeland_security,RDEL,880,seed placeholder
2024-25,homeland_security,RDEL,900,seed placeholder
2015-16,crime_fire_drugs,RDEL,600,seed placeholder
2016-17,crime_fire_drugs,RDEL,620,seed placeholder
2017-18,crime_fire_drugs,RDEL,640,seed placeholder
2018-19,crime_fire_drugs,RDEL,660,seed placeholder
2019-20,crime_fire_drugs,RDEL,680,seed placeholder
2020-21,crime_fire_drugs,RDEL,700,seed placeholder
2021-22,crime_fire_drugs,RDEL,720,seed placeholder
